AE1,AE2,AE3,fdc_id,description
2.3107376,2.3026257,5.747,2175652,"CEREAL WITH MARSHMALLOWS, MARSHMALLOWS"
2.3107376,2.3026257,5.747,2170961,"CEREAL WITH MARSHMALLOWS, MARSHMALLOWS"
2.5276713,2.6434698,5.202303,1864245,"CEREAL, ALMOND CRUNCHO'S"
1.5367978,1.747236,5.056085,2487952,"CEREAL, APPLE ZINGS"
1.5367978,1.747236,5.056085,2487973,"CEREAL, APPLE ZINGS"
1.9373281,1.7735742,3.156955,1859219,"CEREAL, BLUEBERRY PECAN"
2.3610845,2.8907585,5.3428993,1635860,"CEREAL, CARAMEL CRUNCH"
2.2199287,1.7384021,3.419376,1890033,"CEREAL, CHOCOLATE & STRAWBERRY"
2.0542426,2.5715303,4.584733,1625848,"CEREAL, CHOCOLATE STRAWBERRY"
2.0811238,2.6733747,4.8329453,2487971,"CEREAL, CINNAMON TOASTER"
1.0139952,1.5693879,4.24771,2673033,"CEREAL, COCO ROOS"
1.687806,1.7447965,4.283692,2477060,"CEREAL, COCOA CRUNCHIES"
1.8583572,2.2171757,5.528758,2673064,"CEREAL, COOKIES & CREAM"
3.8829832,4.030141,7.6968923,1853653,"CEREAL, CORN FLAKES"
0.8555827,1.2690616,4.3767247,2475961,"CEREAL, DOUBLE CHOCOLATE"
1.5367566,1.729732,5.2030807,2487957,"CEREAL, FROSTED FLAKES"
0.7502201,0.9481752,4.0994425,2487972,"CEREAL, GOLDEN PUFFS"
2.2945223,2.4034092,4.9148955,1017627,"CEREAL, GOLDEN TURMERIC"
2.4559617,1.9468849,4.2316604,1869796,"CEREAL, HONEY CRUNCH"
3.1054997,4.1492863,7.5624504,1864224,"CEREAL, HONEY GRAHAM"
1.9144669,2.9099407,5.7586,2653151,"CEREAL, HONEY GRAHAM"
0.547946,0.8499762,3.930582,2488237,"CEREAL, HONEY POPS"
1.5042559,0.6406489,2.2698472,1864075,"CEREAL, LIGHTLY SWEETENED"
2.7323155,3.0960689,6.56644,2672939,"CEREAL, MARSHMALLOW MATEYS"
2.7323155,3.0960689,6.56644,2487955,"CEREAL, MARSHMALLOW MATEYS"
2.9117813,3.3268719,6.3452363,1914145,"CEREAL, PEANUT BUTTER"
2.9117813,3.3268719,6.3452363,1914147,"CEREAL, PEANUT BUTTER"
2.1714091,1.8742461,4.6708565,1150586,"CEREAL, PURPLE BAM!"
2.520608,1.9702256,4.4340386,2546083,"CEREAL, RAISIN BRAN"
3.1445227,3.1005678,6.096799,2118099,"CEREAL, RAISIN BRAN"
1.5042559,0.6406489,2.2698472,1864217,"CEREAL, STRAWBERRY CREAM"
1.5042559,0.6406489,2.2698472,2027304,"CEREAL, STRAWBERRY CREAM"
1.5971037,1.903941,5.2442536,2655919,"CEREAL, TOOTIE FRUITIES"
6.3768983,5.475127,6.107294,2175107,"CEREAL, VANILLA ALMOND"
1.688288,1.5890558,3.8191018,2142551,"CEREALS WITH BANANAS, BANANAS"
1.437742,0.7334558,2.2559865,2628963,"CEREALS, SWEETENED WHEATFULS"
3.840454,3.5464497,5.3842673,2739175,Cheerios Breakfast Cereal
3.7609138,3.4270253,5.3266387,2746631,Cheerios Breakfast Cereal
3.5902376,3.2588744,5.233337,2739019,Cheerios Cereal Bowlpak
3.7609138,3.4270253,5.3266387,2739365,Cheerios Cereal Pouch
3.7609138,3.4270253,5.3266387,2516993,Cheerios Cereal Singlepak
0.76930445,0.36861396,2.63989,2579525,CHOCO PUFFS CEREAL
1.3916246,1.925394,5.1163845,1824645,"CHOCOLATE CEREAL, CHOCOLATE"
9.441961,10.442362,9.635622,2667716,"CHOCOLATE CEREAL, CHOCOLATE"
2.580018,3.4897494,5.305273,2614517,"CHOCOLATE CEREAL, CHOCOLATE"
5.4663644,5.019499,6.1006227,2509068,"CHOCOLATE CEREAL, CHOCOLATE"
2.716044,2.7759094,5.357298,2752073,Chocolate Cheerios Cereal
2.716044,2.7759094,5.357298,2746609,Chocolate Cheerios Cereal
2.716044,2.7759094,5.357298,2741460,Chocolate Cheerios Cereal
3.1657367,3.2555566,5.9516177,757652,Chocolate Cheerios Cereal
3.1657367,3.2555566,5.9516177,760208,Chocolate Cheerios Cereal
2.7139177,3.212048,5.995938,768774,Chocolate Chex Cereal
2.0053082,2.1313646,4.953097,2611305,"CHOCOLATEY CEREAL, CHOCOLATE"
2.7403302,2.6967037,6.154746,2595996,"CINNAMON CEREAL, CINNAMON"
3.2082887,2.520398,4.959484,2567825,"CINNAMON CEREAL, CINNAMON"
2.0449324,2.0517025,5.4713254,2146865,"CINNAMON CEREAL, CINNAMON"
2.3434997,2.4625468,4.7880015,2716626,Cinnamon Cheerios Cereal
2.5286422,2.812024,5.6378403,757560,Cinnamon Chex Cereal
2.6370125,2.8678522,5.5666857,2754908,Cinnamon Chex Cereal
2.5590696,3.0313878,5.6581454,758976,Cinnamon Chex Cereal
2.5286422,2.812024,5.6378403,768776,Cinnamon Chex Cereal
2.5923376,2.4851613,4.841119,2528189,CINNAMON MULTIGRAIN CEREAL
2.0101233,2.5006654,5.9362082,2651804,"COCOA CEREAL, COCOA"
1.605357,0.9277689,2.5929313,2584204,COCOA CRUNCH CEREAL
0.88599837,1.2395558,4.315358,574783,COCOA CRUNCHIES CEREAL
1.6570494,1.7743908,4.2982078,2682296,Cocoa Puffs Cereal
1.7360785,1.8347588,4.4334593,2746540,Cocoa Puffs Cereal
1.5195328,1.6118103,4.321955,2233969,Cocoa Puffs Cereal
1.7828053,1.816306,4.4382253,2234071,Cocoa Puffs Cereal
1.6585473,1.7746053,4.2972894,2720693,Cocoa Puffs Cereal
1.6892321,1.7729268,4.359578,2692394,Cocoa Puffs Cereal
1.6627809,1.719665,4.3007145,2739154,Cocoa Puffs Cereal
1.6905947,1.7732525,4.3584304,2739265,Cocoa Puffs Cereal
1.6905947,1.7732525,4.3584304,2739291,Cocoa Puffs Cereal
1.6905947,1.7732525,4.3584304,2739316,Cocoa Puffs Cereal
1.711412,1.7787964,4.4032497,2746521,Cocoa Puffs Cereal
1.7657624,1.7357614,4.3465395,2613195,Cocoa Puffs Cereal
2.2980347,2.4798641,5.5336566,2745295,Cookie Crisp Cereal
2.1964507,2.3894582,5.4259815,2738685,Cookie Crisp Cereal
2.2980347,2.4798641,5.5336566,2746520,Cookie Crisp Cereal
2.1832705,2.3230486,5.3947167,2233853,Cookie Crisp Cereal
2.1989975,2.38475,5.4184375,2739294,Cookie Crisp Cereal
0.34350994,1.2782153,2.4520874,2595994,CORN BARS CEREAL
3.477857,3.421711,6.8377986,2112079,CORN BISCUITS CEREAL
2.2410746,2.1842685,5.66751,2497970,"CORN CEREAL, CORN"
1.1476625,1.220869,4.454673,2595957,"CORN CEREAL, CORN"
2.1340075,2.1648707,5.6413956,2160480,"CORN CEREAL, CORN"
3.6756387,3.6581082,6.8400044,2746529,Corn Chex Cereal
3.572774,3.4916148,6.990076,1944652,CORN FLAKES CEREAL
3.104651,2.8971539,6.065603,2473748,CORN FLAKES CEREAL
3.4601564,3.2330065,6.555099,2056097,CORN FLAKES CEREAL
3.104651,2.8971539,6.065603,2472822,CORN FLAKES CEREAL
3.2036061,2.8457203,5.9511695,2008194,CORN FLAKES CEREAL
