fdc_id,description,brand_owner,food_category,Energy,Protein,"Carbohydrate, by difference",Total lipid (fat),"Fatty acids, total saturated","Fiber, total dietary",Total Sugars,"Sodium, Na"
1944658,CEREAL WITH MARSHMALLOWS!,"Post Consumer Brands, LLC",Cereal,379.0,3.45,89.7,1.72,0.0,0.0,44.8,552.0
1864229,"CEREAL, CHOCOLATE","Post Consumer Brands, LLC",Cereal,400.0,3.33,86.7,3.33,0.67,3.3,56.7,367.0
1927239,"CEREAL, CHOCOLATE",The Kellogg Company ,Cereal,400.0,3.33,86.7,3.33,1.67,0.0,43.3,467.0
1933052,"CEREAL, CHOCOLATE","Post Consumer Brands, LLC",Cereal,414.0,3.45,86.2,3.45,3.45,0.0,34.5,586.0
2487966,"CEREAL, CHOCOLATE","Post Consumer Brands, LLC",Cereal,394.0,3.03,87.9,3.03,0.0,3.0,54.6,348.0
1633793,"CEREAL, CHOCOLATE","General Mills, Inc.",Cereal,419.0,6.45,77.4,12.9,1.61,6.5,29.0,419.0
2477383,"CEREAL, CINNAMON","Post Consumer Brands, LLC",Cereal,421.0,5.26,77.2,12.3,0.88,5.3,33.3,474.0
1636148,"CEREAL, FRUITY","General Mills, Inc.",Cereal,393.0,3.57,85.7,5.36,0.0,3.6,32.1,482.0
2477387,"CEREAL, HONEY","Post Consumer Brands, LLC",Cereal,393.0,3.57,78.6,10.7,0.0,3.6,35.7,893.0
2477635,"CEREAL, ORIGINAL","Post Consumer Brands, LLC",Cereal,414.0,3.45,82.8,6.9,0.0,3.4,37.9,414.0
1864248,"CEREAL, STRAWBERRIES","Post Consumer Brands, LLC",Cereal,387.0,6.45,83.9,4.84,0.0,6.5,25.8,403.0
1810930,"CEREAL, STRAWBERRY","Post Consumer Brands, LLC",Cereal,345.0,9.09,81.8,1.82,0.0,10.9,20.0,18.0
2653147,"CEREAL, STRAWBERRY","Post Consumer Brands, LLC",Cereal,387.0,6.45,83.9,4.84,0.0,6.5,25.8,403.0
2287123,"CEREALS, BERRY","Post Consumer Brands, LLC",Cereal,400.0,3.33,86.7,5.0,0.0,0.0,46.7,633.0
2517161,Cheerios Cereal,General Mills,Processed Cereal Products,117.0,5.56,21.6,1.85,0.62,2.5,4.94,154.0
2738631,Cheerios Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,357.0,14.3,75.0,7.14,0.0,10.7,3.57,500.0
759418,Cheerios Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,385.0,11.5,73.1,5.77,0.0,7.7,3.85,500.0
2670307,CINNAMON CEREAL,Lovebird Foods,Cereal,333.0,6.67,80.0,5.0,3.33,13.3,20.0,217.0
