AE1,AE2,AE3,fdc_id,description
16.181246,15.390727,19.265764,2187843,"PRUNE CEREAL FLAVORED YOGURT SMOOTHIE, PRUNE CEREAL"
16.80551,15.590581,19.920185,2159959,"PRUNE CEREAL YOGURT SMOOTHIE WITH PROBIOTICS, PRUNE CEREAL"
5.161375,7.5870976,4.4535303,2166719,"SUGAR COOKIE CEREAL WITH MARSHMALLOWS, SUGAR COOKIE CEREAL"
3.8399215,5.938878,3.6389077,2615371,"BANANA CEREAL, BANANA"
4.131846,5.6047354,4.0637183,2595891,"BANANAS CEREAL, BANANA"
4.3628035,6.194248,3.5992157,2615388,"BLUEBERRY CEREAL, BLUEBERRY"
4.3126583,6.8021674,4.5977945,2615328,"CHOCOLATE CEREAL, CHOCOLATE"
4.382928,5.7137675,3.973068,2611323,ORIGINAL CRUNCH CEREAL
2.5585012,1.8748612,2.921416,2598564,PUFFED CORN CEREAL
2.9509575,2.8179245,3.5763273,2598565,PUFFED MILLET CEREAL
4.203576,4.098561,4.376187,2598563,PUFFED RICE CEREAL
3.5122423,2.4744322,3.820018,2598562,PUFFED WHEAT CEREAL
4.1131783,6.274437,3.5986295,2615339,PUMPKIN SPICE CEREAL
4.381789,6.119996,3.617668,2615350,"RASPBERRY CEREAL, RASPBERRY"
11.964024,13.509856,15.244218,2677640,"CEREAL MILK ICE CREAM WITH CORNFLAKE CRUNCH, CEREAL MILK"
3.5980904,4.9569736,3.2512507,2746508,Basic 4 Cereal
3.5593674,5.016309,3.2864885,758584,Basic 4 Cereal
3.6203525,3.7415285,3.7066653,2027257,"BLUEBERRY CEREAL, BLUEBERRY"
3.9519699,5.892044,3.708903,1462106,Blueberry Cheerios Cereal
3.7505274,5.407463,3.5036464,2233830,Blueberry Cheerios Cereal
3.9519699,5.892044,3.708903,1462006,Blueberry Cheerios Cereal
4.4370923,7.276797,4.116447,2746527,Blueberry Chex Cereal
4.496055,7.415347,3.9841273,761398,Blueberry Chex Cereal
3.405501,4.4417133,2.9739537,2746583,Bluey Breakfast Cereal
3.406751,3.8901455,3.1375222,1886230,"BRAN CEREAL, RASIN"
2.4196599,2.0323637,2.7978632,732658,BRAN FLAKES CEREAL
2.3241096,2.4384289,1.7629228,2489001,BRAN FLAKES CEREAL
2.067552,1.9132847,1.6227539,2477420,BRAN FLAKES CEREAL
2.067552,1.9132847,1.6227539,2626147,BRAN FLAKES CEREAL
2.1641948,2.196202,1.6255108,2641802,BRAN FLAKES CEREAL
4.27376,6.662356,3.6774614,2560946,BREAKFAST PACK CEREAL
4.307371,6.2100167,3.6360793,2057627,"BROOKSHIRE'S, RICE CEREAL"
5.2220936,7.162232,5.120001,2595969,"CARAMEL CEREAL, CARAMEL"
5.3459816,11.456266,8.452603,2166545,CEREAL 'N CANDY
4.886943,7.2719007,4.9996295,1901384,"CEREAL BAR, APPLE"
4.2443285,5.84374,4.483758,1927664,"CEREAL BARS, BLUEBERRY"
4.250546,5.881714,4.4701242,1928965,"CEREAL BARS, STRAWBERRY"
4.3877764,6.4267364,3.6520686,2477596,CEREAL CRISPY RICE
5.0421414,8.153697,5.96251,2417252,CEREAL WAFER STRAWS
3.9623988,5.8573866,3.7730024,2027459,"CEREAL WITH ALMONDS, ALMONDS"
3.9623988,5.8573866,3.7730024,2470900,"CEREAL WITH ALMONDS, ALMONDS"
3.763767,5.2315826,3.6726475,2470949,"CEREAL WITH ALMONDS, ALMONDS"
3.9623988,5.8573866,3.7730024,2551292,"CEREAL WITH ALMONDS, ALMONDS"
3.9623988,5.8573866,3.7730024,2027500,"CEREAL WITH ALMONDS, ALMONDS"
4.170028,5.2568245,3.7414489,2166306,"CEREAL WITH CRANBERRIES, CRANBERRIES"
4.170028,5.2568245,3.7414489,1969682,"CEREAL WITH CRANBERRIES, CRANBERRIES"
5.168261,7.409483,4.323347,2175652,"CEREAL WITH MARSHMALLOWS, MARSHMALLOWS"
5.168261,7.409483,4.323347,2170961,"CEREAL WITH MARSHMALLOWS, MARSHMALLOWS"
3.9794998,5.9856486,3.628787,1864245,"CEREAL, ALMOND CRUNCHO'S"
5.6929865,8.326433,5.005106,2487952,"CEREAL, APPLE ZINGS"
5.6929865,8.326433,5.005106,2487973,"CEREAL, APPLE ZINGS"
2.8733459,3.6860127,3.335187,1859219,"CEREAL, BLUEBERRY PECAN"
4.391191,7.0874004,4.2939153,1635860,"CEREAL, CARAMEL CRUNCH"
4.2329245,4.5189457,4.846126,1890033,"CEREAL, CHOCOLATE & STRAWBERRY"
3.9716566,6.4328327,4.0828505,1625848,"CEREAL, CHOCOLATE STRAWBERRY"
4.152444,6.8468723,4.167143,2487971,"CEREAL, CINNAMON TOASTER"
5.656793,8.704545,5.461791,2673033,"CEREAL, COCO ROOS"
4.568431,6.4985404,4.3188405,2477060,"CEREAL, COCOA CRUNCHIES"
5.5299215,8.458754,4.791425,2673064,"CEREAL, COOKIES & CREAM"
4.280448,6.8406186,3.114555,1853653,"CEREAL, CORN FLAKES"
6.08579,9.050121,5.591186,2475961,"CEREAL, DOUBLE CHOCOLATE"
5.9211535,8.705156,5.1040754,2487957,"CEREAL, FROSTED FLAKES"
6.13564,8.579145,5.724238,2487972,"CEREAL, GOLDEN PUFFS"
4.188706,6.272486,3.8863094,1017627,"CEREAL, GOLDEN TURMERIC"
3.1691644,3.7353737,2.8952243,1869796,"CEREAL, HONEY CRUNCH"
5.177985,9.374063,4.3443127,1864224,"CEREAL, HONEY GRAHAM"
5.5013223,9.368179,5.206492,2653151,"CEREAL, HONEY GRAHAM"
6.264862,8.966167,5.8755774,2488237,"CEREAL, HONEY POPS"
3.4721913,3.4846852,3.5611017,1864075,"CEREAL, LIGHTLY SWEETENED"
5.016532,7.7966757,4.1731033,2672939,"CEREAL, MARSHMALLOW MATEYS"
5.016532,7.7966757,4.1731033,2487955,"CEREAL, MARSHMALLOW MATEYS"
4.365561,6.9389043,3.8042247,1914145,"CEREAL, PEANUT BUTTER"
4.365561,6.9389043,3.8042247,1914147,"CEREAL, PEANUT BUTTER"
4.2975535,5.751243,3.76253,1150586,"CEREAL, PURPLE BAM!"
3.406751,3.8901455,3.1375222,2546083,"CEREAL, RAISIN BRAN"
3.762995,5.459197,3.0637884,2118099,"CEREAL, RAISIN BRAN"
