fdc_id,description,brand_owner,serving_size,serving_size_unit,food_category,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy,Total Sugars,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn",Vitamin D (D2 + D3),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,Folic acid,"Sugars, added",Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Vitamin A, RAE","Vitamin A, IU",Pantothenic acid,"Vitamin D (D2 + D3), International Units","Copper, Cu","Manganese, Mn","Selenium, Se","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fiber, soluble","Carbohydrate, other","Fiber, insoluble",Total sugar alcohols,"Iodine, I",Vitamin D3 (cholecalciferol),Biotin,Vitamin K (phylloquinone),Vitamin E,"Folate, DFE",Ash,Water,Vitamin E (label entry primarily),"Chlorine, Cl","Chromium, Cr","Molybdenum, Mo",Starch,Vitamin E (alpha-tocopherol),"Sugars, Total","Alcohol, ethyl","Choline, total",Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,"Sugars, intrinsic"
2038207,CEREAL,Nature's Path Foods Inc.,30.0,g,Cereal,6.67,1.67,86.7,400.0,30.0,6.7,0.0,2.4,,,,267.0,,,0.0,,,,,,,,,0.0,0.0,0.33,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163731,CEREAL,The Kellogg Company ,43.0,g,Cereal,6.98,0.0,83.7,372.0,,2.3,0.0,28.6,,,140.0,721.0,,,,1.0,1.19,14.0,1.4,,4.19,279.0,9.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370659,CEREAL,NATURE'S PATH,30.0,g,Cereal,6.67,5.0,83.3,400.0,13.3,10.0,0.0,2.4,,,,383.0,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487953,CEREAL,"Post Consumer Brands, LLC",27.0,g,Cereal,11.1,5.56,74.1,370.0,0.0,11.1,556.0,20.0,89.0,370.0,352.0,481.0,5.56,,0.0,2.0,,5.93,0.741,,,,,0.0,0.0,0.0,,0.0,1.11,,,,,1.85,1.85,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487964,CEREAL,"Post Consumer Brands, LLC",29.0,g,Cereal,6.9,0.0,89.7,379.0,55.2,0.0,0.0,1.24,,207.0,172.0,224.0,1.03,,0.0,2.0,,1.38,,,,,,0.0,0.0,0.0,,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2079252,CEREAL,Target Stores,55.0,g,Cereal,12.7,9.09,65.4,382.0,12.7,9.1,36.0,3.27,,,,182.0,,,0.0,,,,,,,,,0.0,0.0,0.91,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175897,CEREAL,The Kellogg Company ,37.0,g,Cereal,5.41,0.0,89.2,351.0,32.4,2.7,0.0,19.5,,,81.0,514.0,,,,1.0,0.919,10.8,1.08,,3.24,189.0,32.4,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107140,CEREAL,The Kellogg Company ,28.0,g,Cereal,7.14,0.0,85.7,357.0,10.7,3.6,0.0,28.9,,,161.0,714.0,,,21.4,1.0,1.52,17.9,1.79,,5.36,,,0.0,0.0,0.0,,1790.0,,143.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604467,CEREAL,RAISIN BRAN,61.0,g,Cereal,8.2,1.64,78.7,311.0,32.8,14.8,49.0,17.7,164.0,328.0,557.0,393.0,7.38,,,1.0,1.39,13.1,1.64,,8.85,352.0,14.8,0.0,0.0,0.0,,2870.0,1.64,,0.984,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477386,CEREAL,"Post Consumer Brands, LLC",56.0,g,Cereal,7.14,3.57,83.9,375.0,41.1,5.4,446.0,11.2,57.0,179.0,188.0,679.0,4.02,,0.0,2.0,,3.57,0.357,,,,,0.0,0.0,0.0,,0.0,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2149323,CEREAL,The Kellogg Company ,40.0,g,Cereal,5.0,0.0,90.0,375.0,42.5,0.0,0.0,11.2,,,75.0,312.0,,,,1.0,,,1.5,500.0,6.0,288.0,42.5,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747324,CEREAL,The Kellogg Company ,42.0,g,Cereal,7.14,0.0,85.7,357.0,9.52,2.4,0.0,28.6,,,143.0,714.0,,,,1.0,1.21,14.3,1.43,476.0,4.29,274.0,9.5,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093405,CEREAL,The Kellogg Company ,42.0,g,Cereal,7.14,0.0,85.7,357.0,9.52,2.4,0.0,28.6,,,143.0,714.0,,,,1.0,1.21,14.3,1.43,476.0,4.29,274.0,9.5,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153366,CEREAL,The Kellogg Company ,59.0,g,Cereal,8.47,1.69,79.7,322.0,28.8,11.9,34.0,3.05,102.0,169.0,475.0,339.0,2.54,,,,,5.08,,,,,15.3,0.0,0.0,0.0,,,,0.0,0.678,3.0,12.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947654,CEREAL,The Kellogg Company ,59.0,g,Cereal,8.47,1.69,78.0,322.0,30.5,11.9,34.0,7.63,136.0,339.0,661.0,356.0,2.54,,0.0,1.0,0.72,8.48,0.847,,2.54,,,0.0,0.0,0.0,,847.0,,68.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912504,CEREAL,The Kellogg Company ,29.0,g,Cereal,3.45,0.0,89.7,379.0,34.5,3.4,0.0,15.5,,,121.0,517.0,,,20.7,1.0,1.47,17.2,1.72,,5.17,,,0.0,0.0,0.0,,1720.0,,138.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370639,CEREAL,NATURE'S PATH,30.0,g,Cereal,6.67,0.0,90.0,400.0,13.3,3.3,0.0,1.2,,,,350.0,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
